$schema,bot,comment,id,namespace,notify_url,parsedcomment,server_name,server_script_path,server_url,timestamp,title,title_url,type,user,wiki
/mediawiki/recentchange/1.0.0,True,[[:Talk:Earl Montgomery (songwriter)]] added to category,2006440998,14,https://en.wikipedia.org/w/index.php?diff=1343808417&oldid=1343763207,"<a href=""/wiki/Talk:Earl_Montgomery_(songwriter)"" title=""Talk:Earl Montgomery (songwriter)"">Talk:Earl Montgomery (songwriter)</a> added to category",en.wikipedia.org,/w,https://en.wikipedia.org,1773671380,Category:All unassessed articles,https://en.wikipedia.org/wiki/Category:All_unassessed_articles,categorize,Cewbot,enwiki
/mediawiki/recentchange/1.0.0,True,[[:Talk:Earl Montgomery (songwriter)]] removed from category,2006440999,14,https://en.wikipedia.org/w/index.php?diff=1343808417&oldid=1343763207,"<a href=""/wiki/Talk:Earl_Montgomery_(songwriter)"" title=""Talk:Earl Montgomery (songwriter)"">Talk:Earl Montgomery (songwriter)</a> removed from category",en.wikipedia.org,/w,https://en.wikipedia.org,1773671380,Category:WikiProject banners without banner shells,https://en.wikipedia.org/wiki/Category:WikiProject_banners_without_banner_shells,categorize,Cewbot,enwiki
/mediawiki/recentchange/1.0.0,False,,,1,,,en.wikipedia.org,/w,https://en.wikipedia.org,1773671382,Talk:Mathematics,https://en.wikipedia.org/wiki/Talk:Mathematics,log,~2026-16569-04,enwiki
/mediawiki/recentchange/1.0.0,False,/* Talk:Benjamin Netanyahu */ Requesting semi-protection of [[:Talk:Benjamin Netanyahu]].,2006441000,4,https://en.wikipedia.org/w/index.php?diff=1343808420&oldid=1343808166,"<span class=""autocomment""><a href=""/wiki/Wikipedia:Requests_for_page_protection/Increase#Talk:Benjamin_Netanyahu"" title=""Wikipedia:Requests for page protection/Increase"">→<bdi dir=""ltr"">Talk:Benjamin Netanyahu</bdi></a>: </span> Requesting semi-protection of <a href=""/wiki/Talk:Benjamin_Netanyahu"" title=""Talk:Benjamin Netanyahu"">Talk:Benjamin Netanyahu</a>.",en.wikipedia.org,/w,https://en.wikipedia.org,1773671381,Wikipedia:Requests for page protection/Increase,https://en.wikipedia.org/wiki/Wikipedia:Requests_for_page_protection/Increase,edit,45dogs,enwiki
/mediawiki/recentchange/1.0.0,False,General note: Unconstructive editing on [[:Africanized bee]].,2006441001,3,https://en.wikipedia.org/w/index.php?oldid=1343808421&rcid=2006441001,"General note: Unconstructive editing on <a href=""/wiki/Africanized_bee"" title=""Africanized bee"">Africanized bee</a>.",en.wikipedia.org,/w,https://en.wikipedia.org,1773671381,User talk:~2026-16630-99,https://en.wikipedia.org/wiki/User_talk:~2026-16630-99,new,JeffSpaceman,enwiki
/mediawiki/recentchange/1.0.0,False,add a reference,2006441002,0,https://en.wikipedia.org/w/index.php?diff=1343808419&oldid=1342212794,add a reference,en.wikipedia.org,/w,https://en.wikipedia.org,1773671381,Maria Oyeyinka Laose,https://en.wikipedia.org/wiki/Maria_Oyeyinka_Laose,edit,Victuallers,enwiki
/mediawiki/recentchange/1.0.0,True,[[Wikipedia:Bots/Requests for approval/VWF bot 6|Bot]]: Delink 'Country' in Infobox settlement subdivision_type as [[WP:EASTEREGG|Easter egg]],2006441003,0,https://en.wikipedia.org/w/index.php?diff=1343808418&oldid=1339686384,"<a href=""/wiki/Wikipedia:Bots/Requests_for_approval/VWF_bot_6"" title=""Wikipedia:Bots/Requests for approval/VWF bot 6"">Bot</a>: Delink &#039;Country&#039; in Infobox settlement subdivision_type as <a href=""/wiki/Wikipedia:EASTEREGG"" class=""mw-redirect"" title=""Wikipedia:EASTEREGG"">Easter egg</a>",en.wikipedia.org,/w,https://en.wikipedia.org,1773671380,"California, Missouri","https://en.wikipedia.org/wiki/California,_Missouri",edit,VWF bot,enwiki
/mediawiki/recentchange/1.0.0,False,"[[:Tad, The Lost Explorer]] added to category, [[Special:WhatLinksHere/Tad, The Lost Explorer|this page is included within other pages]]",2006441005,14,https://en.wikipedia.org/w/index.php?diff=1343808414&oldid=1343808305,"<a href=""/wiki/Tad,_The_Lost_Explorer"" title=""Tad, The Lost Explorer"">Tad, The Lost Explorer</a> added to category, <a href=""/wiki/Special:WhatLinksHere/Tad,_The_Lost_Explorer"" title=""Special:WhatLinksHere/Tad, The Lost Explorer"">this page is included within other pages</a>",en.wikipedia.org,/w,https://en.wikipedia.org,1773671378,Category:Pages with reference errors,https://en.wikipedia.org/wiki/Category:Pages_with_reference_errors,categorize,~2026-16578-17,enwiki
/mediawiki/recentchange/1.0.0,False,"[[:Tad, The Lost Explorer]] added to category, [[Special:WhatLinksHere/Tad, The Lost Explorer|this page is included within other pages]]",2006441006,14,https://en.wikipedia.org/w/index.php?diff=1343808414&oldid=1343808305,"<a href=""/wiki/Tad,_The_Lost_Explorer"" title=""Tad, The Lost Explorer"">Tad, The Lost Explorer</a> added to category, <a href=""/wiki/Special:WhatLinksHere/Tad,_The_Lost_Explorer"" title=""Special:WhatLinksHere/Tad, The Lost Explorer"">this page is included within other pages</a>",en.wikipedia.org,/w,https://en.wikipedia.org,1773671378,Category:Pages with broken reference names,https://en.wikipedia.org/wiki/Category:Pages_with_broken_reference_names,categorize,~2026-16578-17,enwiki
/mediawiki/recentchange/1.0.0,False,"[[:Tad, The Lost Explorer]] removed from category, [[Special:WhatLinksHere/Tad, The Lost Explorer|this page is included within other pages]]",2006441007,14,https://en.wikipedia.org/w/index.php?diff=1343808414&oldid=1343808305,"<a href=""/wiki/Tad,_The_Lost_Explorer"" title=""Tad, The Lost Explorer"">Tad, The Lost Explorer</a> removed from category, <a href=""/wiki/Special:WhatLinksHere/Tad,_The_Lost_Explorer"" title=""Special:WhatLinksHere/Tad, The Lost Explorer"">this page is included within other pages</a>",en.wikipedia.org,/w,https://en.wikipedia.org,1773671378,Category:CS1 maint: deprecated archival service,https://en.wikipedia.org/wiki/Category:CS1_maint:_deprecated_archival_service,categorize,~2026-16578-17,enwiki
